iter	Passed	Remaining
0	2	2343
1	4	2101
2	6	2109
3	8	2182
4	10	2079
5	12	2050
6	14	2055
7	16	2024
8	18	1999
9	20	1992
10	22	2030
11	24	2056
12	26	2044
13	28	2027
14	30	2008
15	32	1992
16	34	1995
17	37	2045
18	39	2050
19	41	2040
20	43	2021
21	45	2006
22	47	2018
23	49	2023
24	52	2042
25	54	2052
26	56	2040
27	58	2028
28	60	2019
29	62	2008
30	63	1995
31	65	1994
32	69	2027
33	71	2020
34	72	2007
35	74	1996
36	76	1999
37	79	2008
38	81	2007
39	83	2008
40	85	1998
41	87	1986
42	89	1984
43	90	1973
44	92	1960
45	93	1947
46	95	1940
47	98	1946
48	99	1940
49	101	1934
50	103	1928
51	105	1923
52	107	1916
53	108	1906
54	110	1902
55	113	1906
56	114	1900
57	116	1894
58	118	1889
59	120	1887
60	122	1883
61	124	1879
62	126	1878
63	128	1877
64	130	1872
65	132	1869
66	133	1865
67	135	1858
68	137	1853
69	138	1844
70	140	1843
71	143	1844
72	146	1854
73	148	1852
74	150	1850
75	151	1846
76	153	1841
77	155	1837
78	158	1846
79	160	1849
80	162	1849
81	164	1845
82	165	1832
83	167	1829
84	169	1825
85	172	1832
86	174	1828
87	176	1824
88	177	1820
89	179	1815
90	181	1810
91	182	1805
92	184	1801
93	187	1808
94	189	1804
95	191	1801
96	192	1796
97	194	1792
98	196	1787
99	198	1783
100	200	1786
101	202	1785
102	204	1783
103	206	1781
104	208	1777
105	210	1774
106	212	1773
107	214	1770
108	216	1772
109	218	1769
110	221	1770
111	222	1766
112	224	1763
113	226	1760
114	228	1757
115	231	1762
116	232	1756
117	234	1753
118	236	1749
119	238	1745
120	239	1741
121	241	1735
122	243	1732
123	245	1731
124	247	1730
125	249	1728
126	250	1721
127	252	1718
128	254	1716
129	256	1714
130	258	1712
131	260	1713
132	262	1710
133	264	1706
134	265	1703
135	267	1699
136	269	1698
137	271	1695
138	273	1695
139	276	1698
140	278	1694
141	279	1687
142	281	1684
143	282	1681
144	284	1678
145	286	1676
146	288	1674
147	291	1676
148	293	1674
149	294	1670
150	296	1667
151	298	1666
152	300	1664
153	302	1661
154	304	1661
155	307	1661
156	308	1657
157	312	1664
158	314	1662
159	316	1660
160	317	1653
161	319	1652
162	321	1649
163	322	1646
164	324	1643
165	326	1640
166	328	1637
167	330	1634
168	331	1631
169	333	1630
170	336	1628
171	338	1627
172	340	1627
173	342	1624
174	343	1621
175	345	1619
176	347	1616
177	350	1617
178	352	1615
179	353	1612
180	355	1609
181	357	1607
182	359	1604
183	361	1601
184	363	1602
185	365	1601
186	367	1599
187	369	1597
188	371	1594
189	373	1592
190	375	1590
191	377	1589
192	380	1590
193	382	1587
194	384	1587
195	386	1585
196	388	1582
197	390	1581
198	393	1585
199	395	1582
200	397	1580
201	399	1578
202	401	1575
203	402	1572
204	404	1569
205	406	1567
206	408	1566
207	410	1563
208	412	1560
209	414	1557
210	415	1555
211	417	1552
212	419	1550
213	421	1548
214	424	1548
215	426	1546
216	427	1543
217	429	1540
218	431	1537
219	433	1535
220	434	1533
221	437	1534
222	439	1531
223	441	1529
224	442	1525
225	444	1523
226	446	1520
